285;662
653,116;2
584,292,364;657
472,705,456,559;682
894,376,681,759,169;634
453,523,465,600,144,130;567
422,363,994,58,140,403,871;700
969,46,523,409,700,658,555,61;706
462,969,1001,331,39,777,409,466,406;661
776,823,103,508,140,298,113,580,894,21;648
425,594,888,587,873,912,80,940,140,51,91;649
583,109,385,442,492,777,340,832,66,281,622,110;633
975,57,500,377,741,365,150,42,283,972,932,454,998;616
967,396,408,418,192,339,681,812,349,736,758,356,580,472;593
143,144,205,341,611,539,20,67,962,582,375,968,850,60,819;655
244,283,713,516,174,553,270,186,367,825,478,776,271,162,392,25;655
118,521,584,612,817,186,844,83,540,121,915,870,842,366,922,777,83;655
723,260,639,601,256,902,617,896,170,907,108,728,857,221,109,679,989,597;645
386,268,499,659,364,323,816,89,957,879,833,983,808,515,886,189,215,183,372;633
38,792,808,353,117,160,506,480,146,987,137,853,957,1001,30,612,856,779,24,460;670
