160;682
160,82;705
160,82,121;706
160,82,121,107;648
160,82,121,107,86;734
160,82,121,107,86,62;683
160,82,121,107,86,62,249;661
160,82,121,107,86,62,249,434;685
160,82,121,107,86,62,249,434,183;698
160,82,121,107,86,62,249,434,183,5;680
160,82,121,107,86,62,249,434,183,5,13;726
160,82,121,107,86,62,249,434,183,5,13,166;628
160,82,121,107,86,62,249,434,183,5,13,166,129;717
160,82,121,107,86,62,249,434,183,5,13,166,129,211;714
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87;720
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87,105;731
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87,105,21;728
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87,105,21,283;698
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87,105,21,283,142;676
160,82,121,107,86,62,249,434,183,5,13,166,129,211,87,105,21,283,142,83;707
